model,intercept,beta_x,beta_g,beta_xg,RMSE,MAE,R2
additive,-0.05321954984830059,0.10071855946022396,0.14869274513014288,0.0,0.02356289752322481,0.01855148777926901,0.8000482796851449
interaction,0.00032632803936443117,-0.009254751964787533,-0.0036946776128647823,0.31205165676220903,0.005032674583489492,0.0038328838427489713,0.9908785169582304
