seed,neuronal_trace_L1_before_reset,neuronal_trace_L1_after_reset,glial_trace_L1_after_neuronal_reset,glial_probability_L1,glial_topology_strength_L1,dynamic_direct_NN_candidate_count,base_direct_NN_edge_count,neuronal_match_pass,glial_separation_present
20260913,0.17556633242531172,0.0,0.22466029502529308,0.2134272802740284,0.3313675559859184,0,0,True,True
20261922,0.14022373986086165,0.0,0.22353656167542857,0.21235973359165716,0.3328048317535933,0,0,True,True
20262931,0.14495266840143084,0.0,0.21684360499358735,0.20600142474390798,0.3333333333333333,0,0,True,True
20263940,0.16594086356580492,0.0,0.2044454207110336,0.19422314967548193,0.33185767602852806,0,0,True,True
20264949,0.17576878799937373,0.0,0.2321983709673549,0.22058845241898717,0.3333333333333333,0,0,True,True
20265958,0.15079396114559243,0.0,0.21893603527530545,0.20798923351154022,0.3333333333333333,0,0,True,True
20266967,0.13878940943335746,0.0,0.20412111405937342,0.19391505835640474,0.33134064752183473,0,0,True,True
20267976,0.20922863442242687,0.0,0.2716357518842806,0.2580539642900665,0.3333333333333333,0,0,True,True
20268985,0.14547196576423915,0.0,0.20488261937552243,0.1946384884067463,0.3333333333333333,0,0,True,True
20269994,0.16079523967873172,0.0,0.20265372270649235,0.1925210365711677,0.33297365617224134,0,0,True,True
20271003,0.17833047911799849,0.0,0.21102259989237418,0.20047146989775544,0.32961603031738895,0,0,True,True
20272012,0.15981494950147174,0.0,0.21365461217619153,0.20297188156738194,0.3272622502645055,0,0,True,True
20273021,0.20696263023106226,0.0,0.24871234271804074,0.2362767255821387,0.3227247061061271,0,0,True,True
20274030,0.15786534794687382,0.0,0.19971632093280872,0.1897305048861683,0.32495375541902116,0,0,True,True
20275039,0.17563911696043863,0.0,0.23308422492232966,0.2214300136762132,0.3333333333333333,0,0,True,True
20276048,0.19961308005809583,0.0,0.26660535153453857,0.2532750839578116,0.3333333333333333,0,0,True,True
20277057,0.22100460542539055,0.0,0.2785984753468499,0.2646685515795074,0.3333333333333333,0,0,True,True
20278066,0.16406789156644552,0.0,0.2075595961028553,0.19718161629771253,0.33101417534565314,0,0,True,True
20279075,0.22232102533598969,0.0,0.2665111676862187,0.2531856093019077,0.3333333333333333,0,0,True,True
20280084,0.14550601114048697,0.0,0.18979422386781206,0.18030451267442144,0.3318642704016572,0,0,True,True
