agent,trial,stage,candidate_id,edge_type,strength,active,driver,seed
full_biological,9,Ext1,AUTO_TRI_N3_G2_N5,tripartite,0.010133884436773048,False,0.07956378441827949,20260817
full_biological,9,Ext1,AUTO_TRI_N3_G2_N9,tripartite,0.010133884436773048,False,0.07956378441827949,20260817
full_biological,10,Ext1,AUTO_GG_G0_G1,glia_glia,1.0,True,0.14252691343529478,20260817
full_biological,10,Ext1,AUTO_GG_G1_G3,glia_glia,1.0,True,0.14252691343529478,20260817
full_biological,10,Ext1,AUTO_GG_G2_G5,glia_glia,1.0,True,0.7728452393561569,20260817
full_biological,10,Ext1,AUTO_TRI_N0_G1_N4,tripartite,1.0,True,0.14252691343529478,20260817
full_biological,10,Ext1,AUTO_TRI_N3_G2_N5,tripartite,0.030469233174460257,False,0.11435806444461172,20260817
full_biological,10,Ext1,AUTO_TRI_N3_G2_N9,tripartite,0.030469233174460257,False,0.11435806444461172,20260817
full_biological,11,Ext1,AUTO_GG_G0_G1,glia_glia,1.0,True,0.11402153074823583,20260817
full_biological,11,Ext1,AUTO_GG_G1_G3,glia_glia,1.0,True,0.11402153074823583,20260817
full_biological,11,Ext1,AUTO_GG_G2_G5,glia_glia,1.0,True,0.8262727160985934,20260817
full_biological,11,Ext1,AUTO_TRI_N0_G1_N4,tripartite,1.0,True,0.11402153074823583,20260817
full_biological,11,Ext1,AUTO_TRI_N3_G2_N5,tripartite,0.06004627466001505,False,0.1458788379239458,20260817
full_biological,11,Ext1,AUTO_TRI_N3_G2_N9,tripartite,0.06004627466001505,False,0.1458788379239458,20260817
full_biological,12,Ext1,AUTO_GG_G0_G1,glia_glia,1.0,True,0.09121722459858866,20260817
full_biological,12,Ext1,AUTO_GG_G1_G3,glia_glia,1.0,True,0.09121722459858866,20260817
full_biological,12,Ext1,AUTO_GG_G2_G5,glia_glia,1.0,True,0.8744532795454076,20260817
full_biological,12,Ext1,AUTO_TRI_N0_G1_N4,tripartite,1.0,True,0.09121722459858866,20260817
full_biological,12,Ext1,AUTO_TRI_N3_G2_N5,tripartite,0.0980464558330073,False,0.17460776078645568,20260817
full_biological,12,Ext1,AUTO_TRI_N3_G2_N9,tripartite,0.0980464558330073,False,0.17460776078645568,20260817
full_biological,13,Ext1,AUTO_GG_G0_G1,glia_glia,1.0,True,0.07297377967887093,20260817
full_biological,13,Ext1,AUTO_GG_G1_G3,glia_glia,1.0,True,0.07297377967887093,20260817
full_biological,13,Ext1,AUTO_GG_G2_G5,glia_glia,1.0,True,0.9179663113271912,20260817
full_biological,13,Ext1,AUTO_TRI_N0_G1_N4,tripartite,1.0,True,0.07297377967887093,20260817
full_biological,13,Ext1,AUTO_TRI_N3_G2_N5,tripartite,0.1437932973406087,False,0.2010294058562832,20260817
full_biological,13,Ext1,AUTO_TRI_N3_G2_N9,tripartite,0.1437932973406087,False,0.2010294058562832,20260817
full_biological,14,Ext1,AUTO_GG_G0_G1,glia_glia,1.0,True,0.05837902374309675,20260817
full_biological,14,Ext1,AUTO_GG_G1_G3,glia_glia,1.0,True,0.05837902374309675,20260817
full_biological,14,Ext1,AUTO_GG_G2_G5,glia_glia,1.0,True,0.9573513667056262,20260817
full_biological,14,Ext1,AUTO_TRI_N0_G1_N4,tripartite,1.0,True,0.05837902374309675,20260817
full_biological,14,Ext1,AUTO_TRI_N3_G2_N5,tripartite,0.19675805245179293,False,0.22564764689707476,20260817
full_biological,14,Ext1,AUTO_TRI_N3_G2_N9,tripartite,0.19675805245179293,False,0.22564764689707476,20260817
full_biological,15,Ext1,AUTO_GG_G0_G1,glia_glia,1.0,True,0.04670321899447741,20260817
full_biological,15,Ext1,AUTO_GG_G1_G3,glia_glia,1.0,True,0.04670321899447741,20260817
full_biological,15,Ext1,AUTO_GG_G2_G5,glia_glia,1.0,True,0.9931169854806743,20260817
full_biological,15,Ext1,AUTO_TRI_N0_G1_N4,tripartite,1.0,True,0.04670321899447741,20260817
full_biological,15,Ext1,AUTO_TRI_N3_G2_N5,tripartite,0.25657002300467263,False,0.24900154242142902,20260817
full_biological,15,Ext1,AUTO_TRI_N3_G2_N9,tripartite,0.25657002300467263,False,0.24900154242142902,20260817
full_biological,16,Ext1,AUTO_GG_G0_G1,glia_glia,1.0,True,0.03736257519558193,20260817
full_biological,16,Ext1,AUTO_GG_G1_G3,glia_glia,1.0,True,0.03736257519558193,20260817
full_biological,16,Ext1,AUTO_GG_G2_G5,glia_glia,1.0,True,1.0,20260817
full_biological,16,Ext1,AUTO_TRI_N0_G1_N4,tripartite,1.0,True,0.03736257519558193,20260817
full_biological,16,Ext1,AUTO_TRI_N3_G2_N5,tripartite,0.3230318004525869,True,0.2716821337955646,20260817
full_biological,16,Ext1,AUTO_TRI_N3_G2_N9,tripartite,0.3230318004525869,True,0.2716821337955646,20260817
full_biological,17,Ext1,AUTO_GG_G0_G1,glia_glia,1.0,True,0.029890060156465545,20260817
full_biological,17,Ext1,AUTO_GG_G1_G3,glia_glia,1.0,True,0.029890060156465545,20260817
full_biological,17,Ext1,AUTO_GG_G2_G5,glia_glia,1.0,True,1.0,20260817
full_biological,17,Ext1,AUTO_TRI_N0_G1_N4,tripartite,1.0,True,0.029890060156465545,20260817
full_biological,17,Ext1,AUTO_TRI_N3_G2_N5,tripartite,0.3961405169430844,True,0.29435294374437526,20260817
full_biological,17,Ext1,AUTO_TRI_N3_G2_N9,tripartite,0.3961405169430844,True,0.29435294374437526,20260817
full_biological,18,Ext1,AUTO_GG_G0_G1,glia_glia,1.0,True,0.023912048125172437,20260817
full_biological,18,Ext1,AUTO_GG_G1_G3,glia_glia,1.0,True,0.023912048125172437,20260817
full_biological,18,Ext1,AUTO_GG_G2_G5,glia_glia,1.0,True,1.0,20260817
full_biological,18,Ext1,AUTO_TRI_N0_G1_N4,tripartite,1.0,True,0.023912048125172437,20260817
full_biological,18,Ext1,AUTO_TRI_N3_G2_N5,tripartite,0.4761174304552753,True,0.31777840144336555,20260817
full_biological,18,Ext1,AUTO_TRI_N3_G2_N9,tripartite,0.4761174304552753,True,0.31777840144336555,20260817
full_biological,19,Ext1,AUTO_GG_G0_G1,glia_glia,1.0,True,0.01912963850013795,20260817
full_biological,19,Ext1,AUTO_GG_G1_G3,glia_glia,1.0,True,0.01912963850013795,20260817
full_biological,19,Ext1,AUTO_GG_G2_G5,glia_glia,1.0,True,1.0,20260817
full_biological,19,Ext1,AUTO_TRI_N0_G1_N4,tripartite,1.0,True,0.01912963850013795,20260817
full_biological,19,Ext1,AUTO_TRI_N3_G2_N5,tripartite,0.5634499431740698,True,0.34286624873731675,20260817
full_biological,19,Ext1,AUTO_TRI_N3_G2_N9,tripartite,0.5634499431740698,True,0.34286624873731675,20260817
full_biological,20,Ext1,AUTO_GG_G0_G1,glia_glia,1.0,True,0.01530371080011036,20260817
full_biological,20,Ext1,AUTO_GG_G1_G3,glia_glia,1.0,True,0.01530371080011036,20260817
full_biological,20,Ext1,AUTO_GG_G2_G5,glia_glia,1.0,True,1.0,20260817
full_biological,20,Ext1,AUTO_TRI_N0_G1_N4,tripartite,1.0,True,0.01530371080011036,20260817
full_biological,20,Ext1,AUTO_TRI_N3_G2_N5,tripartite,0.6589527217914009,True,0.37073269135553966,20260817
full_biological,20,Ext1,AUTO_TRI_N3_G2_N9,tripartite,0.6589527217914009,True,0.37073269135553966,20260817
full_biological,21,Ext1,AUTO_GG_G0_G1,glia_glia,1.0,True,0.012242968640088288,20260817
full_biological,21,Ext1,AUTO_GG_G1_G3,glia_glia,1.0,True,0.012242968640088288,20260817
full_biological,21,Ext1,AUTO_GG_G2_G5,glia_glia,1.0,True,1.0,20260817
full_biological,21,Ext1,AUTO_TRI_N0_G1_N4,tripartite,1.0,True,0.012242968640088288,20260817
full_biological,21,Ext1,AUTO_TRI_N3_G2_N5,tripartite,0.763858398907373,True,0.40280329159197614,20260817
full_biological,21,Ext1,AUTO_TRI_N3_G2_N9,tripartite,0.763858398907373,True,0.40280329159197614,20260817
full_biological,22,Ext1,AUTO_GG_G0_G1,glia_glia,1.0,True,0.00979437491207063,20260817
full_biological,22,Ext1,AUTO_GG_G1_G3,glia_glia,1.0,True,0.00979437491207063,20260817
full_biological,22,Ext1,AUTO_GG_G2_G5,glia_glia,1.0,True,1.0,20260817
full_biological,22,Ext1,AUTO_TRI_N0_G1_N4,tripartite,1.0,True,0.00979437491207063,20260817
full_biological,22,Ext1,AUTO_TRI_N3_G2_N5,tripartite,0.8799539756701181,True,0.44096884217293447,20260817
full_biological,22,Ext1,AUTO_TRI_N3_G2_N9,tripartite,0.8799539756701181,True,0.44096884217293447,20260817
full_biological,23,Ext1,AUTO_GG_G0_G1,glia_glia,1.0,True,0.007835499929656506,20260817
full_biological,23,Ext1,AUTO_GG_G1_G3,glia_glia,1.0,True,0.007835499929656506,20260817
