agent,trial,stage,analysis_stage,day,stage_index,context,plasticity,P_FREEZE_NODE,P_SUPPRESS_NODE,fear_route_drive,suppression_route_drive,freeze_score,suppression_score,route_conflict,P_N4,P_N5,P_N6,P_N7,P_G0,P_G1,P_G2,P_G3,P_G4,P_G5,astro_fear_proxy,fear_responsive_weight,ext_responsive_weight,fear_memory_storage,extinction_memory_storage,fear_expression_gate,extinction_expression_gate,fear_assembly_min_strength,extinction_assembly_min_strength,seed
full_biological,0,Pre-Con,Pre-Con,0,1,A,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00653119496947252,0.004036710768538954,0.3842523215571083,0.0,0.0,0.00653119496947252,,,0.0,0.0,,,0.0,0.0,20260817
full_biological,1,F-Con,F-Con,1,1,A,True,0.08328698219138453,0.0,0.7998359770879381,0.0,0.9523716522139278,0.0,0.0,0.7998359770879381,0.0,0.27872687616858605,0.0,0.7165859895183705,0.00653119496947252,0.004036710768538954,0.3842523215571083,0.4215770703060906,0.0,0.00653119496947252,0.28,0.22,0.0,0.0,1.0,0.0,0.0,0.0,20260817
full_biological,2,F-Con,F-Con,1,2,A,True,0.08328698219138453,0.0,0.7998359770879381,0.0,0.9523716522139278,0.0,0.0,0.7998359770879381,0.0,0.27872687616858605,0.0,0.5809773719640225,0.20091824478858633,0.004036710768538954,0.38339246276680483,0.4215770703060906,0.0,0.20091824478858633,0.3196005221444273,0.22,0.0,0.0,1.1414304362300973,0.0,0.0,0.0,20260817
full_biological,3,F-Con,F-Con,1,3,A,True,0.08474756609711354,0.0,0.8103155951462515,0.0,0.9529586423813382,0.0,0.0,0.8103155951462515,0.0,0.2834107344521434,0.0,0.6214799987386012,0.39277771805901573,0.004036710768538954,0.3841122813893348,0.4286546895842237,0.0,0.39277771805901573,1.92421809064276,0.22,0.6563894360681201,0.0,1.35,0.0,0.6563894360681201,0.0,20260817
full_biological,4,Ext1,E-Ext,2,1,B,True,0.0064821341191168,0.0,0.07222303399805885,0.0,0.6435669347462848,0.0,0.0,0.07222303399805885,0.0,0.02895662110742303,0.0,0.08599868374783626,0.2522086817136901,0.004036710768538954,0.007430816940880166,0.045494616034054136,0.48524435617492145,0.2522086817136901,2.1957125324889537,0.22,1.0,0.0,1.0,1.0,1.0,0.0,20260817
full_biological,5,Ext1,E-Ext,2,2,B,True,0.006993752464845904,0.0,0.07797393901431282,0.0,0.6609420662376364,0.0,0.0,0.07797393901431282,0.0,0.031214578674507387,0.0,0.0921878846491803,0.2695469685530145,0.004036710768538954,0.007969448869371568,0.0490566990025082,0.48524435617492145,0.2695469685530145,2.284905064146642,0.22,1.0,0.0,1.0,1.0,1.0,0.0,20260817
full_biological,6,Ext1,E-Ext,2,3,B,True,0.007515919018287964,0.0,0.08385113431742086,0.0,0.6770316217089857,0.0,0.0,0.08385113431742086,0.0,0.03351494416619172,0.0,0.0984181706005787,0.2868782236809258,0.011056016955004211,0.008512249477860893,0.05268783805066746,0.4792927906814628,0.2868782236809258,2.3731366162978116,0.22,1.0,0.0,1.0,1.0,1.0,0.0,20260817
full_biological,7,Ext1,E-Ext,2,4,B,True,0.008048262231552972,0.0,0.08985092421415719,0.0,0.6919544451294791,0.0,0.0,0.08985092421415719,0.0,0.03585583279889493,0.0,0.10468072149433713,0.3041731252977954,0.03138608000674985,0.009058477081936411,0.05638517349440564,0.4621186090596081,0.3041731252977954,2.4605000593375754,0.22,1.0,0.0,1.0,1.0,1.0,0.0,20260817
full_biological,8,Ext1,E-Ext,2,5,B,True,0.008590350363750887,0.0,0.09596892227241993,0.0,0.7058151279609455,0.0,0.0,0.09596892227241993,0.0,0.03823510326060875,0.0,0.11096626866119574,0.32140164937773963,0.07133577941293712,0.009607348632223796,0.06014543461643074,0.42868294477964497,0.32140164937773963,2.547065517915506,0.22,1.0,0.0,1.0,1.0,1.0,0.0,20260817
full_biological,9,Ext1,Ext1,2,6,B,True,0.009141680910343397,0.0,0.1021999258881019,0.0,0.7187059012149114,0.0,0.0,0.1021999258881019,0.0,0.04065031456377244,0.0,0.11726503669778174,0.3385329968151699,0.1254805532512948,0.0101580341927041,0.06396486982599803,0.3842177004149573,0.3385329968151699,2.632882323188338,0.22,1.0,0.0,1.0,1.0,1.0,0.0,20260817
